FORMA,MODELO,VALOR (Em Reais),BAIRRO,REGIÃO,IMOBILIARIA
Venda,apartamento 3 dormitórios,"265.000,00",Parque Industrial,Sul,Elite
Venda,apartamento 3 dormitórios,"280.000,00",Vila Adyana,Central,Executiva
Venda,apartamento 3 dormitórios,"300.000,00",Floradas de São José,Sul,Vasconcelos
Venda,apartamento 3 dormitórios,"318.000,00",Jardim Aquarius,Oeste,Terra
Venda,apartamento 3 dormitórios,"340.000,00",Centro,Central,Celeste
Venda,apartamento 3 dormitórios,"380.000,00",Jardim Aquarius,Oeste,Ideal
Venda,apartamento 4 dormitórios,"478.000,00",Vila Ema,Central,Piramide
Venda,apartamento 4 dormitórios,"530.000,00",Jardim Esplanada,Oeste,Celeste
Venda,apartamento 4 dormitórios,"870.000,00",Jardim Esplanada II,Oeste,Geração
Venda,apartamento 4 dormitórios,"1.800.000,00",Altos da Serra I,Oeste,Ferreirinha
Venda,casa 2 dormitórios,"140.000,00",Jardim Mariana,Leste,Ideal
Venda,casa 2 dormitórios,"190.000,00",Parque Industrial,Sul,Independence
Venda,casa 2 dormitórios,"220.000,00",Parque dos Ypes,Sul,Kogake
Venda,casa 2 dormitórios,"350.000,00",Parque Industrial,Sul,Terra
Venda,casa 2 dormitórios,"350.000,00",Jardim das Industrias,Oeste,Kogake
Venda,casa 3 dormitórios,"200.000,00",Jacareí,Outra Cidade,Elite
Venda,casa 3 dormitórios,"305.000,00",Jardim das Industrias,Oeste,Kogake
Venda,casa 3 dormitórios,"325.000,00",Jacareí,Outra Cidade,Ideal
Venda,casa 3 dormitórios,"350.000,00",Vila do Tesouro,Leste,Alexandre
Venda,casa 3 dormitórios,"380.000,00",Vista Linda,Leste,Ideal
Venda,casa 3 dormitórios,"510.000,00",Jardim Satélite,Sul,Independence
Venda,casa 3 dormitórios,"530.000,00",Jardim das Industrias,Oeste,Geração
Venda,casa 3 dormitórios,"590.000,00",Altos da Serra VI,Oeste,Ferreirinha
Venda,casa 3 dormitórios,"850.000,00",Urbanova,Oeste,Ferreirinha
Venda,casa 3 dormitórios,"950.000,00",Urbanova,Oeste,Brasil
Venda,casa 4 dormitórios,"600.000,00",Urbanova,Oeste,Brasil
Venda,casa 4 dormitórios,"1.050.000,00",Jardim Apolo II,Oeste,Brasil
Venda,casa 4 dormitórios,"1.300.000,00",Esplanada do Sol,Oeste,Terra
Venda,casa 4 dormitórios,"1.390.000,00",Jardim das Colinas,Oeste,Piramide
Venda,casa 4 dormitórios,"1.900.000,00",Jardim das Colinas,Oeste,Alvorada
Venda,casa 4 dormitórios,"4.000.000,00",Chácara Serimbura,Oeste,Ferreirinha
Venda,chácara,"1.080.000,00",Buquirinha,Norte,Brasil
Venda,sítio,"450.000,00",Paraisópolis,Outra Cidade,Alexandre
Venda,loja,"0,00",Centro,Central,Vasconcelos
Venda,galpão,"0,00",Jardim Motorama,Leste,Celeste
Venda,terreno,"69.000,00",Jardim Santa Júlia,Sudeste,Elite
Venda,terreno,"70.000,00",Jacareí,Outra Cidade,Kogake
Venda,terreno,"190.000,00",Vila Paiva,Norte,Elite
Venda,terreno,"240.000,00",Urbanova,Oeste,Celeste
Venda,terreno,"900.000,00",Jardim Apolo,Oeste,Geração
Venda,terreno,"38.000.000,00",Jardim Esper,Outra Cidade,Brasil
Venda,terreno,"0,00",Jacareí,Outra Cidade,Vasconcelos
Aluguel,apartamento 2 dormitórios,"650,00",Bosque dos Eucaliptos,Sul,Terra
Aluguel,apartamento 3 dormitórios,"1.000,00",Jardim Satélite,Sul,Independence
Aluguel,apartamento 4 dormitórios,"6.500,00",Jardim Aquarius,Oeste,Geração
Aluguel,casa 4 dormitórios,"3.900,00",Altos da Serra II,Oeste,Ferreirinha
Aluguel,galpão,"2.000,00",Jardim Motorama,Leste,Alexandre
