FORMA,MODELO,VALOR (Em Reais),BAIRRO,REGIÃO,IMOBILIARIA
Venda,casa 4 dormitórios,"680.000,00",Urbanova,Oeste,Ideal
Venda,casa 4 dormitórios,"750.000,00",Altos da Serra III,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"750.000,00",Urbanova,Oeste,Ideal
Venda,casa 4 dormitórios,"780.000,00",Floradas da Serra,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"848.000,00",Jardim das Industrias,Oeste,Brasil
Venda,casa 4 dormitórios,"700.000,00",Urbanova,Oeste,Ideal
Venda,casa 4 dormitórios,"750.000,00",Portal da Serra,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"750.000,00",Urbanova,Oeste,Piramide
Venda,casa 4 dormitórios,"800.000,00",Jardim Esplanada II,Oeste,Brasil
Venda,casa 4 dormitórios,"850.000,00",Jardim Esplanada,Oeste,Brasil
Venda,casa 4 dormitórios,"890.000,00",Vila Betania,Central,Kogake
Venda,casa 4 dormitórios,"1.100.000,00",Jardim América,Sul,Kogake
Venda,casa 4 dormitórios,"1.500.000,00",Altos da Serra V,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"1.650.000,00",Altos da Serra V,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"4.500.000,00",Urbanova,Oeste,Brasil
Venda,casa 4 dormitórios,"900.000,00",Jardim Esplanada II,Oeste,Piramide
Venda,casa 4 dormitórios,"1.150.000,00",Esplanada do Sol,Oeste,Piramide
Venda,casa 4 dormitórios,"1.500.000,00",Centro,Central,Terra
Venda,casa 4 dormitórios,"1.800.000,00",Jardim das Colinas,Oeste,Terra
Venda,casa 4 dormitórios,"950.000,00",Portal da Serra,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"1.270.000,00",Jardim Aquárius,Oeste,Alvorada
Venda,casa 4 dormitórios,"1.600.000,00",Jaguari,Norte,Ferreirinha
Venda,casa 4 dormitórios,"2.000.000,00",Sunset Park,Oeste,Alvorada
Venda,casa 4 dormitórios,"1.100.000,00",Altos da Serra III,Oeste,Alvorada
Venda,casa 4 dormitórios,"1.400.000,00",Sunset Park,Oeste,Alvorada
Venda,casa 4 dormitórios,"1.600.000,00",Jardim Esplanada,Oeste,Kogake
Venda,casa 4 dormitórios,"3.000.000,00",Bosque dos Eucaliptos,Sul,Executiva
Venda,casa 4 dormitórios,"1.100.000,00",Sunset Park,Oeste,Ferreirinha
Venda,casa 4 dormitórios,"1.400.000,00",Urbanova,Oeste,Vasconcelos
Venda,casa 4 dormitórios,"1.600.000,00",Jardim das Colinas,Oeste,Piramide
Venda,casa 4 dormitórios,"3.300.000,00",Quinta das Flores,Sul,Alvorada
Venda,chácara,"160.000,00",Alto da Ponte,Norte,Celeste
Venda,chácara,"400.000,00",Capuava,Sudeste,Kogake
Venda,chácara,"480.000,00",Vila do Tesouro,Leste,Alexandre
Venda,chácara,"1.180.000,00",Jardim Torrão de Ouro,Sul,Terra
Venda,chácara,"2.800.000,00",Buquirinha,Norte,Brasil
Venda,comerciais,"235.000,00",Jardim Apolo,Oeste,Brasil
Venda,comerciais,"320.000,00",Jardim das Colinas,Oeste,Brasil
Venda,comerciais,"450.000,00",Vila Ema,Central,Kogake
Venda,comerciais,"550.000,00",Parque Industrial,Sul,Ferreirinha
Venda,comerciais,"150.000,00",Floradas de São José,Sul,Independence
Venda,comerciais,"250.000,00",Jardim Augusta,Central,Geração
Venda,comerciais,"350.000,00",Jardim Bela Vista,Central,Alexandre
Venda,comerciais,"450.000,00",Jardim Aquárius,Oeste,Geração
Venda,comerciais,"600.000,00",Jardim Bela Vista,Central,Celeste
Venda,comerciais,"160.000,00",Jardim Satélite,Sul,Independence
Venda,comerciais,"265.000,00",Jardim Aquárius,Oeste,Brasil
Venda,comerciais,"380.000,00",Vila Maria,Central,Terra
Venda,comerciais,"480.000,00",Vila Ema,Central,Executiva
Venda,comerciais,"700.000,00",Jardim Satélite,Sul,Celeste
Venda,comerciais,"160.000,00",Floradas de São José,Sul,Piramide
Venda,comerciais,"290.000,00",Jardim das Colinas,Oeste,Piramide
Venda,comerciais,"390.000,00",Jardim Ismenia,Leste,Celeste
Venda,comerciais,"510.000,00",Jardim Augusta,Central,Terra
Venda,comerciais,"850.000,00",Centro,Central,Brasil
Venda,comerciais,"202.000,00",Jardim Aquárius,Oeste,Piramide
Venda,comerciais,"300.000,00",Centro,Central,Celeste
Venda,comerciais,"400.000,00",Jardim das Industrias,Oeste,Celeste
Venda,comerciais,"520.000,00",Jardim Bela Vista,Central,Celeste
Venda,comerciais,"850.000,00",Palmeiras de São José,Sul,Ferreirinha
Venda,terreno,"1.140.000,00",Putim,Sudeste,Piramide
Venda,terreno,"230.000,00",Floradas do Paratehy,Oeste,Ferreirinha
Venda,terreno,"350.000,00",Jardim Satélite,Sul,Alvorada
Venda,terreno,"700.000,00",Vila Betania,Central,Ideal
Venda,terreno,"4.250.000,00",Vila São Bento,Sul,Terra
Venda,terreno,"75.000,00",Jardim Santa Júlia,Sudeste,Elite
Venda,terreno,"235.000,00",Residencial Espelho D`agua,Oeste,Vasconcelos
Venda,terreno,"425.000,00",Urbanova,Oeste,Ferreirinha
Venda,terreno,"940.000,00",Urbanova,Oeste,Terra
Venda,terreno,"5.000.000,00",Parque Novo Horizonte,Leste,Terra
Venda,terreno,"80.000,00",Jardim Santa Júlia,Sudeste,Elite
Venda,terreno,"250.000,00",Urbanova,Oeste,Brasil
Venda,terreno,"500.000,00",Reserva do Paratehy,Oeste,Ferreirinha
Venda,terreno,"960.000,00",Chácara Serimbura,Oeste,Alvorada
Venda,terreno,"122.000,00",Vila Cristina,Norte,Elite
Venda,terreno,"320.000,00",Urbanova,Oeste,Ferreirinha
Venda,terreno,"636.000,00",Reserva do Paratehy,Oeste,Brasil
Venda,terreno,"960.000,00",Urbanova,Oeste,Piramide
Venda,terreno,"150.000,00",Centro,Central,Kogake
Venda,terreno,"320.000,00",Urbanova,Oeste,Ferreirinha
Venda,terreno,"650.000,00",Santana,Norte,Celeste
Venda,terreno,"1.350.000,00",Jardim Alvorada,Oeste,Alvorada
Venda,apartamento 2 dormitórios,"120.000,00",Jacareí,Outra Cidade,Terra
Venda,apartamento 2 dormitórios,"175.000,00",Jacareí,Outra Cidade,Executiva
Venda,apartamento cobertura,"1.500.000,00",Ubatuba,Outra Cidade,Terra
Venda,casa 2 dormitórios,"149.000,00",Caraguatatuba,Outra Cidade,Piramide
Venda,casa 2 dormitórios,"165.000,00",Jacareí,Outra Cidade,Ideal
Venda,casa 2 dormitórios,"220.000,00",Jacareí,Outra Cidade,Independence
Venda,casa 3 dormitórios,"295.000,00",Jacareí,Outra Cidade,Ideal
Venda,casa 3 dormitórios,"390.000,00",Jacareí,Outra Cidade,Elite
Venda,casa 3 dormitórios,"400.000,00",Jambeiro,Outra Cidade,Piramide
Venda,casa 3 dormitórios,"425.000,00",Caçapava,Outra Cidade,Ideal
Venda,casa 4 dormitórios,"470.000,00",Jacareí,Outra Cidade,Ideal
Venda,casa 4 dormitórios,"550.000,00",Jacareí,Outra Cidade,Geração
Venda,casa 4 dormitórios,"1.950.000,00",Jacareí,Outra Cidade,Terra
Venda,terreno,"105.000,00",Jacareí,Outra Cidade,Elite
Venda,terreno,"130.000,00",Jacareí,Outra Cidade,Elite
Venda,terreno,"140.000,00",Paraibuna,Outra Cidade,Celeste
Venda,terreno,"380.000,00",Jacareí,Outra Cidade,Terra
Venda,terreno,"5.760.000,00",Jacareí,Outra Cidade,Terra
Venda,chácara,"650.000,00",Monteiro Lobato,Outra Cidade,Brasil
Venda,apartamento 1 dormitório,"129.000,00",Santana,Norte,Brasil
Venda,apartamento 2 dormitórios,"130.000,00",Vila Tatetuba,Leste,Alexandre
Venda,apartamento 1 dormitório,"140.000,00",Vila Adyana,Central,Vasconcelos
Venda,apartamento 1 dormitório,"150.000,00",Centro,Central,Brasil
Venda,apartamento 2 dormitórios,"168.000,00",Parque Industrial,Sul,Terra
Venda,apartamento 2 dormitórios,"170.000,00",Conjunto Residencial 31 de Março,Sul,Elite
Venda,apartamento 2 dormitórios,"190.000,00",Parque Industrial,Sul,Kogake
Venda,apartamento 1 dormitório,"220.000,00",Jardim Aquárius,Oeste,Vasconcelos
Venda,apartamento 2 dormitórios,"230.000,00",Jardim São Dimas,Central,Celeste
Venda,apartamento 3 dormitórios,"235.000,00",Parque Industrial,Sul,Terra
Venda,apartamento 3 dormitórios,"254.000,00",Jardim América,Sul,Elite
Venda,apartamento 2 dormitórios,"260.000,00",Jardim Esplanada,Oeste,Vasconcelos
Venda,apartamento 2 dormitórios,"285.000,00",Floradas de São José,Sul,Celeste
Venda,apartamento 2 dormitórios,"285.000,00",Jardim Estoril,Sul,Piramide
Venda,apartamento 3 dormitórios,"350.000,00",Vila Ema,Central,Piramide
Venda,apartamento 3 dormitórios,"405.000,00",Vila Adyana,Central,Vasconcelos
Venda,apartamento 3 dormitórios,"455.000,00",Jardim Aquárius,Oeste,Ideal
Venda,apartamento 4 dormitórios,"580.000,00",Jardim Aquárius,Oeste,Alvorada
Venda,apartamento 3 dormitórios,"620.000,00",Jardim Esplanada II,Oeste,Ferreirinha
Venda,apartamento 4 dormitórios,"980.000,00",Jardim Aquárius,Central,Terra
Venda,casa 2 dormitórios,"150.000,00",Caraguatatuba,Outra Cidade,Celeste
Venda,casa 2 dormitórios,"160.000,00",Jardim dos Bandeirantes,Leste,Elite
Venda,casa 3 dormitórios,"175.000,00",Jardim Por do Sol,Sul,Elite
Venda,casa 2 dormitórios,"212.000,00",Jardim das Industrias,Oeste,Ferreirinha
Venda,casa 3 dormitórios,"240.000,00",Jardim Morumbi,Sul,Independence
Venda,casa 3 dormitórios,"245.000,00",Jardim Vale do Sol,Sul,Elite
Venda,casa 3 dormitórios,"265.000,00",Jardim Motorama,Leste,Brasil
Venda,casa 2 dormitórios,"266.000,00",Bosque dos Eucaliptos,Sul,Terra
Venda,casa 3 dormitórios,"266.000,00",Jardim Satélite,Sul,Terra
Venda,casa 3 dormitórios,"280.000,00",Jardim Nova Michigan,Leste,Celeste
Venda,casa 3 dormitórios,"280.000,00",Vista Linda,Leste,Brasil
Venda,casa 3 dormitórios,"300.000,00",Vila do Tesouro,Leste,Alexandre
Venda,casa 3 dormitórios,"380.000,00",Jardim Alvorada,Oeste,Alvorada
Venda,casa 4 dormitórios,"400.000,00",Jardim Satélite,Sul,Kogake
Venda,casa 3 dormitórios,"450.000,00",Santana,Norte,Ideal
Venda,casa 3 dormitórios,"700.000,00",Floradas de São José,Sul,Ferreirinha
Venda,chacara,"212.000,00",Vila Candida,Norte,Celeste
Venda,chacara,"1.030.000,00",Jardim Uirá,Sudeste,Piramide
Venda,terreno,"60.000,00",Altos de Vila Paiva,Norte,Piramide
Venda,terreno,"70.000,00",Jardim Santa Júlia,Sudeste,Alvorada
Venda,terreno,"120.000,00",Jardim das Industrias,Oeste,Alvorada
Venda,terreno,"160.000,00",Alto da Ponte,Norte,Kogake
